PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
158718482010854,13,1971,1982,11,sn,default,50.82819747924805,73.51667785644531,11.258895874023438,1132.2740478515625,3774.47412109375,105.36674475629852,1044.125477588064,3298.77721543382
158718482010854,13,1971,1982,11,sn,calibrated,50.56207275390625,72.9067153930664,11.27625846862793,1127.6759033203125,3762.4609375,105.36674475629852,1044.125477588064,3298.77721543382
158718482010854,13,1971,1982,11,sn,hg_bayes,50.77409744262695,73.51652526855469,11.252909660339355,1444.72509765625,4652.65771484375,105.36674475629852,1044.125477588064,3298.77721543382
158718482010854,13,1971,1982,11,sn,hg_organon,50.77409744262695,73.51652526855469,11.252909660339355,1444.72509765625,4652.65771484375,105.36674475629852,1044.125477588064,3298.77721543382
158718482010854,13,1971,1982,11,sn,hg_conus_sp,50.791259765625,73.51657104492188,11.25480842590332,1345.3267822265625,4440.333984375,105.36674475629852,1044.125477588064,3298.77721543382
158718482010854,13,1971,1982,11,sn,hg_conus_clim,50.82819747924805,73.51667785644531,11.258895874023438,1132.2740478515625,3774.47412109375,105.36674475629852,1044.125477588064,3298.77721543382
216219273020004,13,2014,2019,5,sn,default,13.69765567779541,23.603273391723636,10.315096855163574,263.15435791015625,508.6880493164063,13.52509423220522,216.54634420431802,985.188721928408
216219273020004,13,2014,2019,5,sn,calibrated,13.425333023071287,23.07107162475586,10.329158782958984,257.9454650878906,504.658447265625,13.52509423220522,216.54634420431802,985.188721928408
216219273020004,13,2014,2019,5,sn,hg_bayes,13.699308395385742,23.603269577026367,10.315719604492188,368.3886413574219,745.460205078125,13.52509423220522,216.54634420431802,985.188721928408
216219273020004,13,2014,2019,5,sn,hg_organon,13.699308395385742,23.603269577026367,10.315719604492188,368.3886413574219,745.460205078125,13.52509423220522,216.54634420431802,985.188721928408
216219273020004,13,2014,2019,5,sn,hg_conus_sp,13.699311256408691,23.603273391723636,10.315719604492188,351.522705078125,716.8206176757812,13.52509423220522,216.54634420431802,985.188721928408
216219273020004,13,2014,2019,5,sn,hg_conus_clim,13.699313163757324,23.603269577026367,10.31572151184082,358.423583984375,724.8922729492188,13.52509423220522,216.54634420431802,985.188721928408
61357366010478,13,2004,2009,5,sn,default,18.525413513183597,23.61347007751465,11.993346214294434,463.4493408203125,1687.409912109375,,,
61357366010478,13,2004,2009,5,sn,calibrated,18.232074737548828,23.151582717895508,12.016112327575684,456.4357299804688,1667.394775390625,,,
61357366010478,13,2004,2009,5,sn,hg_bayes,18.53016662597656,23.613468170166016,11.99488639831543,567.9439086914062,2061.400390625,,,
61357366010478,13,2004,2009,5,sn,hg_organon,18.53016662597656,23.613468170166016,11.99488639831543,567.9439086914062,2061.400390625,,,
61357366010478,13,2004,2009,5,sn,hg_conus_sp,18.52945327758789,23.61347007751465,11.994651794433594,538.5132446289062,1966.8192138671875,,,
61357366010478,13,2004,2009,5,sn,hg_conus_clim,18.52416038513184,23.61347770690918,11.992937088012695,542.936767578125,2035.475341796875,,,
22300805010478,1,2001,2006,5,sn,default,121.18643951416016,194.3504638671875,10.692285537719728,2882.83544921875,7980.03369140625,125.27244746014608,2632.662671955204,8330.206143775391
22300805010478,1,2001,2006,5,sn,calibrated,120.09546661376952,191.73223876953125,10.716476440429688,2858.970458984375,7945.0908203125,125.27244746014608,2632.662671955204,8330.206143775391
22300805010478,1,2001,2006,5,sn,hg_bayes,121.1914520263672,194.3444366455078,10.692670822143556,3283.7509765625,9070.4560546875,125.27244746014608,2632.662671955204,8330.206143775391
22300805010478,1,2001,2006,5,sn,hg_organon,121.1914520263672,194.3444366455078,10.692670822143556,3283.7509765625,9070.4560546875,125.27244746014608,2632.662671955204,8330.206143775391
22300805010478,1,2001,2006,5,sn,hg_conus_sp,121.16886901855467,194.3724822998047,10.69090461730957,3074.3037109375,8711.1025390625,125.27244746014608,2632.662671955204,8330.206143775391
22300805010478,1,2001,2006,5,sn,hg_conus_clim,121.16614532470705,194.3719940185547,10.690796852111816,2914.031005859375,8086.546875,125.27244746014608,2632.662671955204,8330.206143775391
216219421020004,13,2014,2020,6,sn,default,139.03407287597656,163.5279998779297,12.485357284545898,4016.468017578125,17189.25390625,153.02770733095477,3747.1258945721443,16431.81339199065
216219421020004,13,2014,2020,6,sn,calibrated,138.40074157714844,162.2723846435547,12.50498390197754,4000.999267578125,17151.75,153.02770733095477,3747.1258945721443,16431.81339199065
216219421020004,13,2014,2020,6,sn,hg_bayes,139.0394287109375,163.5228271484375,12.485791206359863,4550.6728515625,19575.171875,153.02770733095477,3747.1258945721443,16431.81339199065
216219421020004,13,2014,2020,6,sn,hg_organon,139.0394287109375,163.5228271484375,12.485791206359863,4550.6728515625,19575.171875,153.02770733095477,3747.1258945721443,16431.81339199065
216219421020004,13,2014,2020,6,sn,hg_conus_sp,139.02610778808594,163.53538513183594,12.48471450805664,4211.923828125,17893.73046875,153.02770733095477,3747.1258945721443,16431.81339199065
216219421020004,13,2014,2020,6,sn,hg_conus_clim,139.03419494628906,163.5279083251953,12.485365867614746,4030.510498046875,17189.251953125,153.02770733095477,3747.1258945721443,16431.81339199065
100597968010478,28,2007,2014,7,sn,default,33.07107162475586,59.28287506103516,10.11336898803711,573.7123413085938,1411.6173095703125,0.9220078920360296,6.245606373398001,0.0
100597968010478,28,2007,2014,7,sn,calibrated,32.98835754394531,59.09667205810547,10.11661148071289,572.5193481445312,1409.47314453125,0.9220078920360296,6.245606373398001,0.0
100597968010478,28,2007,2014,7,sn,hg_bayes,33.10273742675781,59.28276443481445,10.118218421936035,691.9115600585938,1870.84716796875,0.9220078920360296,6.245606373398001,0.0
100597968010478,28,2007,2014,7,sn,hg_organon,33.10273742675781,59.28276443481445,10.118218421936035,691.9115600585938,1870.84716796875,0.9220078920360296,6.245606373398001,0.0
100597968010478,28,2007,2014,7,sn,hg_conus_sp,33.0801887512207,59.282814025878906,10.114768028259276,670.0548706054688,1844.201171875,0.9220078920360296,6.245606373398001,0.0
100597968010478,28,2007,2014,7,sn,hg_conus_clim,33.07107162475586,59.28287506103516,10.11336898803711,573.7123413085938,1411.6173095703125,0.9220078920360296,6.245606373398001,0.0
158722965010854,13,1981,1988,7,sn,default,98.59626770019533,126.0084457397461,11.977516174316406,2377.915771484375,7421.19921875,130.40447783587132,2146.755163114731,8516.224172599694
