"PLOT","YEAR_PREV","YEAR_CURR","PERIOD_YR","BA_PRED_ft2ac","TPA_PRED","QMD_PRED_in","Cords_PRED_ac","BdFt_intl_PRED_ac","BA_OBS_PREV","BA_OBS_CURR"
1100,1990,2000,10,64.1732300558582,200.533374499799,7.65995206469327,9.63705778433212,1523.34025322746,56.11,58.92
1101,1990,2000,10,101.863781689686,228.16359321644,9.04751177528308,27.333232735153,6509.64824325317,91.26,84.95
1102,1990,2000,10,66.6987018023559,133.68794656222,9.5643398038851,13.2096307930569,3545.71188468213,63.52,73.87
1104,1990,2000,10,60.5398942054496,144.136116851086,8.77560068211465,9.82673411866012,2291.94699672606,53.86,50.97
1105,1986,2000,14,30.4061893829237,101.884621855578,7.39722982982285,6.53375816445237,311.046835647331,19.9,51.92
1106,1990,2000,10,108.789580930454,288.033800839423,8.32174411280129,28.0394772828739,5372.76906582089,120.36,94.47
1107,1986,2000,14,18.1609654132215,55.5734301030428,7.74066544199086,3.47576805541956,264.322624757561,13.96,63.74
1109,1990,2000,10,62.4172292604839,109.682087110111,10.2147283922191,13.9622945842081,4020.9294650032,59.44,67.57
1114,1986,1995,9,71.7811482733815,66.419744926064,14.0766409140849,16.0243667947493,5300.93323324961,78.01,66.79
1115,1986,2000,14,39.6272069791869,46.9096330441554,12.4453795810418,7.6522575970734,2686.79266741688,34.16,57.39
1117,1986,1995,9,48.3813536780348,48.8265506780142,13.4788679453784,10.2582508123813,3601.78584079166,49.95,69.13
1119,1986,1995,9,33.0427923198375,60.7818983266505,9.98374945439391,6.19847932190086,1893.51631623571,27.31,40.41
1130,1986,1999,13,68.0654910355554,92.1607422934992,11.6367831706448,22.9751267583844,7798.19053310787,66.54,49.26
1133,1986,1999,13,28.031223803832,59.5465091068769,9.29041917778488,8.31891790111456,1741.50811451273,23.27,41.44
1134,1986,1999,13,32.2544272086889,59.3738970893341,9.98020179103375,9.97303287927319,2487.05991659134,27.08,31.77
1146,1986,1995,9,84.1682026835534,128.826757261593,10.944940937582,25.2490514286613,7637.77553028246,81.95,92.07
1150,1994,1999,5,49.8315214979859,169.975571557999,7.33164202456609,22.8440000827595,910.436947969179,44.83,38.44
1163,1995,2000,5,36.4501948324016,96.3194710718921,8.32981422497732,10.0483862291516,1691.42403874548,33.21,60.88
1165,1990,2000,10,54.5562996650016,90.9138781616911,10.4893794037982,14.8853197281163,4526.75960485288,54.62,57.13
1166,1990,1995,5,111.324366872669,118.270357232575,13.1371027240931,29.7695776567364,9536.41150897524,115.69,140.48
1169,1986,1995,9,49.4345492838314,63.1471283782574,11.9806648629728,15.8982326237618,5112.48977657549,49.57,96.01
1170,1995,2000,5,59.7740404192147,110.646573393697,9.95244428970973,15.2842301860183,4331.56416249511,56.44,69.03
1171,1989,1999,10,55.289167563877,120.5314069096,9.17090819233076,16.4332666533154,4243.16158372671,49,54.59
1178,1994,1999,5,25.1375244899386,62.1256728740066,8.61327143846805,12.2070452221599,3281.22683213719,24.08,40.51
1193,1990,2000,10,74.8322850793335,89.2913514317726,12.3960191552519,15.5021022592763,4811.577019615,78,53.79
1194,1990,2000,10,60.4605191400793,71.6126685248277,12.4418064361639,15.1303050409991,4749.39795519318,64.18,50.6
1195,1990,2000,10,41.3406746654353,83.98065,9.50039357520052,9.37900274022233,2081.67083260377,35.43,55.61
1196,1990,2000,10,64.5194622253015,70.8908621175599,12.9179224690926,19.8401871179535,6600.69769367716,64.41,40.53
1197,1987,2002,15,37.0653832916711,42.2442408857781,12.6836113441779,8.16910095904872,2868.26211451044,36.72,65.19
1199,1987,2002,15,65.5983420912733,54.9949008492011,14.788620117762,10.5766314664111,3713.57282598435,74.45,94.98
1200,1992,2002,10,75.0419750860074,124.475210257532,10.5136406001763,15.9133146651724,4642.68465519054,73.98,47.32
1202,1990,2000,10,28.8236205469001,55.6988238696115,9.74077892365763,7.21658167804554,1978.69587410043,25.09,79.52
1203,1994,1999,5,53.9295127366596,61.3747811622459,12.6928954572261,13.7426610771156,4526.57912882024,56.67,55.7
1205,1989,1999,10,87.2369142993797,68.1761543077175,15.3170923581406,33.0657661220594,11414.6457925704,101.37,60.43
